"","Wt","Wing","Sex","Month"
"860",21.8,59,"Male","6"
"861",21.8,59.5,"Male","7"
"862",21.8,58.5,"Male","6"
"863",21.8,54.5,"Female","7"
"864",21.9,60,"Male","7"
"865",21.9,59,"Male","6"
"866",21.9,58,"Male","5"
"867",21.9,59,"Male","6"
"868",21.9,59.5,"Male","7"
"869",21.9,56,"Female","6"
"870",22,59.5,"Male","6"
"871",22,59,"Male","7"
"872",22,59,"Male","6"
"873",22,59,"Male","6"
"874",22,60,"Male","6"
"875",22,60,"Male","6"
"876",22,59,"Male","8"
"877",22,60,"Male","6"
"878",22,55.5,"Female","6"
"879",22,54,"Female","6"
"880",22,53.5,"Female","6"
"881",22,57,"Female","6"
"882",22.1,59.5,"Male","6"
"883",22.1,58,"Male","7"
"884",22.1,58.5,"Male","6"
"885",22.1,58.5,"Male","6"
"886",22.2,59,"Male","6"
"887",22.2,60,"Male","6"
"888",22.2,58,"Male","6"
"889",22.2,62,"Male","6"
"890",22.2,58,"Male","6"
"891",22.2,60,"Male","6"
"892",22.2,60,"Male","6"
"893",22.4,59.5,"Male","6"
"894",22.4,56,"Female","6"
"895",22.5,60,"Male","6"
"896",22.5,58,"Male","6"
"897",22.6,58,"Male","6"
"898",22.8,59.5,"Male","5"
"899",23,57,"Male","7"
"900",23.2,55.5,"Female","7"
"901",23.2,57,"Female","6"
"902",23.5,56.5,"Female","7"
"903",24.5,59,"Male","6"
"904",25.4,54.5,"Female","6"
"905",25.5,58,"Male","6"
