"","Species","Site","Abun"
"838","Polydora cornuta",5,7
"839","Polydora cornuta",10,5
"840","Polydora cornuta",11,4
"841","Polydora cornuta",13,1
"842","Polydora cornuta",14,3
"843","Polydora cornuta",16,1
"844","Polydora cornuta",17,3
"845","Polydora cornuta",20,1
"846","Polydora cornuta",31,1
"847","Polydora cornuta",33,2
"848","Polydora cornuta",41,1
"849","Polydora cornuta",48,1
"850","Polydora cornuta",69,0
"851","Polydora cornuta",70,0
"852","Polydora cornuta",76,3
"853","Polydora cornuta",77,1
"854","Polydora sp",4,1
"855","Polydora sp",5,2
"856","Polydora sp",10,12
"857","Polydora sp",69,0
"858","Polydora sp",70,0
"859","Pomatoceros lamarki",69,0
"860","Pomatoceros lamarki",70,0
"861","Pomatoceros lamarki",71,1
"862","Pomatochistus sp.",13,1
"863","Pomatochistus sp.",14,1
"864","Pomatochistus sp.",53,1
"865","Pomatochistus sp.",66,1
"866","Pomatochistus sp.",67,2
"867","Pomatochistus sp.",69,0
"868","Pomatochistus sp.",70,0
"869","Pranus inermis",69,0
"870","Pranus inermis",70,0
"871","Pseudopolydora paucibranchiata",45,1
"872","Pseudopolydora paucibranchiata",51,1
"873","Pseudopolydora paucibranchiata",69,0
"874","Pseudopolydora paucibranchiata",70,0
"875","Pseudopolydora paucibranchiata",75,1
"876","Pygospio elegans",11,1
"877","Pygospio elegans",33,2
"878","Pygospio elegans",51,1
"879","Pygospio elegans",56,1
"880","Pygospio elegans",65,5
"881","Pygospio elegans",69,0
"882","Pygospio elegans",70,0
"883","Pygospio elegans",75,23
"884","Pygospio elegans",76,6
"885","Retusa obtusa",26,9
"886","Retusa obtusa",29,1
"887","Retusa obtusa",35,5
"888","Retusa obtusa",40,2
"889","Retusa obtusa",46,8
"890","Retusa obtusa",61,4
"891","Retusa obtusa",69,0
"892","Retusa obtusa",70,0
"893","Retusa ovata",18,1
"894","Retusa ovata",69,0
"895","Retusa ovata",70,0
"896","Ruditapes decussatus",63,1
"897","Ruditapes decussatus",69,0
"898","Ruditapes decussatus",70,0
"899","Ruditapes phillipinarum",10,1
"900","Ruditapes phillipinarum",13,1
"901","Ruditapes phillipinarum",15,3
"902","Ruditapes phillipinarum",17,10
"903","Ruditapes phillipinarum",18,3
"904","Ruditapes phillipinarum",21,1
"905","Ruditapes phillipinarum",31,2
"906","Ruditapes phillipinarum",38,2
"907","Ruditapes phillipinarum",39,1
"908","Ruditapes phillipinarum",42,2
"909","Ruditapes phillipinarum",43,1
"910","Ruditapes phillipinarum",45,1
"911","Ruditapes phillipinarum",55,1
"912","Ruditapes phillipinarum",58,4
"913","Ruditapes phillipinarum",66,4
"914","Ruditapes phillipinarum",69,0
"915","Ruditapes phillipinarum",70,0
"916","Ruditapes phillipinarum",71,2
"917","Sabella pavonina",69,0
"918","Sabella pavonina",70,0
"919","Scolelepsis sp.",69,0
"920","Scolelepsis sp.",70,0
"921","Scolelepsis sp.",71,3
"922","Scolelepsis sp.",78,1
"923","Scoloplos armiger",33,7
"924","Scoloplos armiger",41,9
"925","Scoloplos armiger",65,6
"926","Scoloplos armiger",69,0
"927","Scoloplos armiger",70,0
"928","Scoloplos armiger",72,5
"929","Scoloplos armiger",75,2
"930","Scoloplos armiger",78,46
"931","Scoloplos armiger",79,50
"932","Scoloplos armiger",80,17
"933","Scrobicularia plana",5,19
"934","Scrobicularia plana",6,1
"935","Scrobicularia plana",10,7
"936","Scrobicularia plana",13,1
"937","Scrobicularia plana",14,4
"938","Scrobicularia plana",17,2
"939","Scrobicularia plana",18,2
"940","Scrobicularia plana",24,1
"941","Scrobicularia plana",26,1
"942","Scrobicularia plana",29,3
"943","Scrobicularia plana",31,2
"944","Scrobicularia plana",36,2
"945","Scrobicularia plana",37,2
"946","Scrobicularia plana",38,1
"947","Scrobicularia plana",42,24
"948","Scrobicularia plana",52,1
"949","Scrobicularia plana",53,1
"950","Scrobicularia plana",69,0
"951","Scrobicularia plana",70,0
"952","Scrobicularia plana",75,2
"953","Serpulidae sp.",69,0
"954","Serpulidae sp.",70,0
"955","Serpulidae sp.",71,4
"956","Solen marginatus",33,1
"957","Solen marginatus",69,0
"958","Solen marginatus",70,0
"959","Sphaeroma rugicauda",69,0
"960","Sphaeroma rugicauda",70,0
"961","Spio martinensis",33,6
"962","Spio martinensis",51,16
"963","Spio martinensis",55,1
"964","Spio martinensis",66,1
"965","Spio martinensis",69,0
"966","Spio martinensis",70,0
"967","Spio martinensis",75,1
"968","Spio martinensis",80,1
"969","Spionidae sp",1,1
"970","Spionidae sp",41,1
"971","Spionidae sp",69,0
"972","Spionidae sp",70,2
"973","Spionidae sp",74,1
"974","Streblospio shrubsolii",1,9
"975","Streblospio shrubsolii",2,1
"976","Streblospio shrubsolii",3,5
"977","Streblospio shrubsolii",4,5
"978","Streblospio shrubsolii",5,7
"979","Streblospio shrubsolii",7,1
"980","Streblospio shrubsolii",10,6
"981","Streblospio shrubsolii",15,4
"982","Streblospio shrubsolii",18,1
"983","Streblospio shrubsolii",22,1
"984","Streblospio shrubsolii",30,1
"985","Streblospio shrubsolii",32,2
"986","Streblospio shrubsolii",35,14
"987","Streblospio shrubsolii",36,3
"988","Streblospio shrubsolii",37,2
"989","Streblospio shrubsolii",38,1
"990","Streblospio shrubsolii",46,14
"991","Streblospio shrubsolii",56,1
"992","Streblospio shrubsolii",61,1
"993","Streblospio shrubsolii",66,2
"994","Streblospio shrubsolii",69,0
"995","Streblospio shrubsolii",70,0
"996","Streblospio shrubsolii",72,2
"997","Streblospio shrubsolii",74,1
"998","Streblospio shrubsolii",75,24
"999","Streblospio shrubsolii",76,1
"1000","Streblospio shrubsolii",77,2
"1001","Tubificoides benedii",2,1
"1002","Tubificoides benedii",3,6
"1003","Tubificoides benedii",8,11
"1004","Tubificoides benedii",9,4
"1005","Tubificoides benedii",10,12
"1006","Tubificoides benedii",11,6
"1007","Tubificoides benedii",13,2
"1008","Tubificoides benedii",15,4
"1009","Tubificoides benedii",17,32
"1010","Tubificoides benedii",18,1
"1011","Tubificoides benedii",20,31
"1012","Tubificoides benedii",24,9
"1013","Tubificoides benedii",25,7
"1014","Tubificoides benedii",27,1
"1015","Tubificoides benedii",30,4
"1016","Tubificoides benedii",31,17
"1017","Tubificoides benedii",32,3
"1018","Tubificoides benedii",36,1
"1019","Tubificoides benedii",38,1
"1020","Tubificoides benedii",39,140
"1021","Tubificoides benedii",40,25
"1022","Tubificoides benedii",43,54
"1023","Tubificoides benedii",45,98
"1024","Tubificoides benedii",46,12
"1025","Tubificoides benedii",47,4
"1026","Tubificoides benedii",49,5
"1027","Tubificoides benedii",51,285
"1028","Tubificoides benedii",54,1
"1029","Tubificoides benedii",55,6
"1030","Tubificoides benedii",57,151
"1031","Tubificoides benedii",58,1
"1032","Tubificoides benedii",59,22
"1033","Tubificoides benedii",61,7
"1034","Tubificoides benedii",62,62
"1035","Tubificoides benedii",63,7
"1036","Tubificoides benedii",64,6
"1037","Tubificoides benedii",65,1
"1038","Tubificoides benedii",66,491
"1039","Tubificoides benedii",67,10
"1040","Tubificoides benedii",69,0
"1041","Tubificoides benedii",70,0
"1042","Tubificoides benedii",71,40
"1043","Tubificoides benedii",74,399
"1044","Tubificoides benedii",76,1
"1045","Tubificoides benedii",77,1
"1046","Tubificoides benedii",79,1
"1047","Tubificoides benedii",80,85
"1048","Tubificoides pseudogaster",1,30
"1049","Tubificoides pseudogaster",2,1
"1050","Tubificoides pseudogaster",3,5
"1051","Tubificoides pseudogaster",4,1
"1052","Tubificoides pseudogaster",5,194
"1053","Tubificoides pseudogaster",6,12
"1054","Tubificoides pseudogaster",10,181
"1055","Tubificoides pseudogaster",14,6
"1056","Tubificoides pseudogaster",15,3
"1057","Tubificoides pseudogaster",17,9
"1058","Tubificoides pseudogaster",20,26
"1059","Tubificoides pseudogaster",22,5
"1060","Tubificoides pseudogaster",28,1
"1061","Tubificoides pseudogaster",31,1
"1062","Tubificoides pseudogaster",36,2
"1063","Tubificoides pseudogaster",37,1
"1064","Tubificoides pseudogaster",40,9
"1065","Tubificoides pseudogaster",41,85
"1066","Tubificoides pseudogaster",44,61
"1067","Tubificoides pseudogaster",48,11
"1068","Tubificoides pseudogaster",49,26
"1069","Tubificoides pseudogaster",52,4
"1070","Tubificoides pseudogaster",54,30
"1071","Tubificoides pseudogaster",56,2
"1072","Tubificoides pseudogaster",59,1
"1073","Tubificoides pseudogaster",60,53
"1074","Tubificoides pseudogaster",61,50
"1075","Tubificoides pseudogaster",62,18
"1076","Tubificoides pseudogaster",64,78
"1077","Tubificoides pseudogaster",65,138
"1078","Tubificoides pseudogaster",67,9
"1079","Tubificoides pseudogaster",68,34
"1080","Tubificoides pseudogaster",69,218
"1081","Tubificoides pseudogaster",70,0
"1082","Tubificoides pseudogaster",71,205
"1083","Tubificoides pseudogaster",72,1
"1084","Tubificoides pseudogaster",74,16
"1085","Tubificoides pseudogaster",75,11
"1086","Tubificoides pseudogaster",76,21
"1087","Tubificoides pseudogaster",77,46
"1088","Tubificoides pseudogaster",80,8
"1089","Tubificoides sp.",7,3
"1090","Tubificoides sp.",12,1
"1091","Tubificoides sp.",21,1
"1092","Tubificoides sp.",22,41
"1093","Tubificoides sp.",24,4
"1094","Tubificoides sp.",25,2
"1095","Tubificoides sp.",26,2
"1096","Tubificoides sp.",30,3
"1097","Tubificoides sp.",32,23
"1098","Tubificoides sp.",34,6
"1099","Tubificoides sp.",35,9
"1100","Tubificoides sp.",39,5
"1101","Tubificoides sp.",40,34
"1102","Tubificoides sp.",45,18
"1103","Tubificoides sp.",47,1
"1104","Tubificoides sp.",50,12
"1105","Tubificoides sp.",52,1
"1106","Tubificoides sp.",56,24
"1107","Tubificoides sp.",59,36
"1108","Tubificoides sp.",61,138
"1109","Tubificoides sp.",65,210
"1110","Tubificoides sp.",68,1
"1111","Tubificoides sp.",69,0
"1112","Tubificoides sp.",70,0
"1113","Tubificoides sp.",71,18
"1114","Tubificoides sp.",73,167
"1115","Urothoe brevicornis",69,0
"1116","Urothoe brevicornis",70,0
"1117","Urothoe brevicornis",78,37
"1118","Urothoe brevicornis",79,73
"1119","Urothoe brevicornis",80,1
"1120","Venerupis saxatilis",69,0
"1121","Venerupis saxatilis",70,0
"1122","Venerupis saxatilis",71,1
